"filename", "language", "Dart", "JSON", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\visit_completion_page.dart", "Dart", 309, 0, 0, 0, 19, 27, 355
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\visit_steps_page.dart", "Dart", 2134, 0, 0, 0, 203, 241, 2578
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\visits_report_page.dart", "Dart", 190, 0, 0, 0, 1, 15, 206
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\warehouses_page.dart", "Dart", 545, 0, 0, 0, 11, 32, 588
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\services\contract_pdf_service.dart", "Dart", 447, 0, 0, 0, 30, 46, 523
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\shared\formatters.dart", "Dart", 5, 0, 0, 0, 3, 5, 13
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\shared\order_status_utils.dart", "Dart", 32, 0, 0, 0, 3, 4, 39
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\balance_charts.dart", "Dart", 649, 0, 0, 0, 43, 52, 744
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\balance_shimmer.dart", "Dart", 309, 0, 0, 0, 31, 29, 369
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\client_balance_widget.dart", "Dart", 521, 0, 0, 0, 56, 56, 633
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\client_balance_widget_v2.dart", "Dart", 498, 0, 0, 0, 49, 36, 583
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\contract_models.dart", "Dart", 33, 0, 0, 0, 0, 6, 39
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\contract_templates.dart", "Dart", 361, 0, 0, 0, 22, 27, 410
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\contracts_filters_panel.dart", "Dart", 141, 0, 0, 0, 3, 9, 153
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\create_contract_form.dart", "Dart", 1431, 0, 0, 0, 74, 101, 1606
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\data_persistence_widgets.dart", "Dart", 766, 0, 0, 0, 14, 61, 841
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\data_sync_progress_widget.dart", "Dart", 224, 0, 0, 0, 7, 22, 253
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\group_sync_card.dart", "Dart", 295, 0, 0, 0, 28, 30, 353
